benchmark,benchmark_label,model,variant_label,effort,max_tokens,harness,is_fusion,n_planned,n_scored,n_correct,n_error,n_missing,error_rate,error_kinds,accuracy,wilson_low,wilson_high,cost_usd_settled,cost_billed_requests,cost_usd_per_sample,cost_usd_per_planned_sample,cost_usd_estimated_public,cost_per_correct_usd,latency_p50_s,latency_p95_s,latency_mean_s,wall_time_s,input_tokens_per_sample,output_tokens_per_sample,reasoning_tokens_per_sample,routing_selected_models,started,completed
livecodebench_v6,LiveCodeBench v6（编程题）,apigo/lyra-auto,Fusion auto,,32768,direct,true,120,106,103,14,0,0.1167,"{""scorer"": 1, ""upstream"": 13}",0.9717,0.9201,0.9903,0.205487,120,0.001939,0.001712,,0.001995,22.16,158.84,42.0,2169.0,1437.9,3924.5,,,2026-09-14T18:41:36+00:00,2026-09-14T19:17:45+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,apigo/lyra-budget,Fusion budget,,32768,direct,true,120,105,96,15,0,0.125,"{""other"": 5, ""scorer"": 1, ""upstream"": 9}",0.9143,0.8451,0.9543,2.085129,120,0.019858,0.017376,,0.02172,38.52,482.7,91.86,4001.0,1740.7,7055.5,,,2026-09-14T19:17:49+00:00,2026-09-14T20:24:30+00:00
livecodebench_v6,LiveCodeBench v6（编程题）,apigo/lyra-quality,Fusion quality,,32768,direct,true,120,111,103,9,0,0.075,"{""upstream"": 9}",0.9279,0.8642,0.963,8.296876,120,0.074747,0.069141,,0.080552,100.9,804.37,210.5,8198.0,2519.1,14260.2,,,2026-09-14T20:24:35+00:00,2026-09-14T22:41:13+00:00
ifeval,IFEval（指令遵循）,baseline:best_single,BestSingle（最强单模型）,,,,,,,,,,,,0.9748,,,,,0.034335,,,,,,,,,,,,,
ifeval,IFEval（指令遵循）,baseline:oracle,Oracle（理论上界）,,,,,,,,,,,,0.9833,,,,,0.001842,,,,,,,,,,,,,
ifeval,IFEval（指令遵循）,baseline:random,Random（均匀随机）,,,,,,,,,,,,0.92,,,,,0.018132,,,,,,,,,,,,,
gpqa_diamond,GPQA Diamond（研究生科学题）,baseline:best_single,BestSingle（最强单模型）,,,,,,,,,,,,0.9167,,,,,0.035579,,,,,,,,,,,,,
gpqa_diamond,GPQA Diamond（研究生科学题）,baseline:oracle,Oracle（理论上界）,,,,,,,,,,,,0.9333,,,,,0.003948,,,,,,,,,,,,,
gpqa_diamond,GPQA Diamond（研究生科学题）,baseline:random,Random（均匀随机）,,,,,,,,,,,,0.8893,,,,,0.020484,,,,,,,,,,,,,
livecodebench_v6,LiveCodeBench v6（编程题）,baseline:best_single,BestSingle（最强单模型）,,,,,,,,,,,,0.9487,,,,,0.027945,,,,,,,,,,,,,
livecodebench_v6,LiveCodeBench v6（编程题）,baseline:oracle,Oracle（理论上界）,,,,,,,,,,,,1.0,,,,,0.004753,,,,,,,,,,,,,
livecodebench_v6,LiveCodeBench v6（编程题）,baseline:random,Random（均匀随机）,,,,,,,,,,,,0.8986,,,,,0.018946,,,,,,,,,,,,,
