log,task,model,reasoning_effort,sample_id,epoch,score,score_detail,difficulty,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,stop_reason,total_time_s,working_time_s,response_id,served_model,lyra_selected_model,lyra_router_model,lyra_difficulty,lyra_task_type,lyra_mode,lyra_policy_version,lyra_attempt_count,error,benchmark,variant,variant_label,is_fusion,cost_usd_matched,cost_match_duration_delta_s
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,286,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,66,352,174,0,0,stop,3.923,3.915,chatcmpl-ENKZCDh243CNBfkoCJruCqhSb7cJt,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00054880,0.015
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,296,1,1,"{""inst_level_loose"": 3, ""inst_level_strict"": 3, ""num_instructions"": 3, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,44,237,67,0,0,stop,3.532,3.529,chatcmpl-ENKZGmZ3ruQA8FmFcGlBz60n7vwRS,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00039380,0.037
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,301,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,37,322,157,0,0,stop,3.658,3.648,chatcmpl-ENKZJQAqkwpyeTjsa3U3Fzh5wk5ZV,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00043800,0.003
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,321,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,46,2772,176,0,0,stop,19.365,19.363,chatcmpl-ENKZRzkPekJJSAYndOOXHDe2DyHrP,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00333560,0.193
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,340,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,46,185,140,0,0,stop,2.136,2.129,chatcmpl-ENKZqs9AuYWkwMlAsPbR56Zjs6uzx,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00024800,0.054
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,343,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,29,646,158,0,0,stop,8.736,8.732,chatcmpl-ENKZwhAxZlMe9cBP12Sy4xprC7zTv,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00149020,0.157
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,357,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,40,168,35,0,0,stop,2.591,2.588,chatcmpl-ENKa3AsrCMPxyeMLvSY2ZGl8TNOEr,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00014860,0.061
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,374,1,0,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 2, ""prompt_level_loose"": false, ""prompt_level_strict"": false}",,93,414,380,0,0,stop,4.682,4.679,chatcmpl-ENKaAlm9JY5n10gaH7Cyezogc8Ikz,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00063460,0.134
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1005,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,44,767,167,0,0,stop,6.978,6.594,chatcmpl-ENKXEhHeEg456cn0orqwvk5DG8xyS,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00117780,0.187
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1051,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,23,120,46,0,0,stop,3.523,3.132,chatcmpl-ENKXEhSQkTCGI4SRatPlhIv96HbvD,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00045680,0.004
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1072,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,25,991,112,0,0,stop,9.394,9.01,chatcmpl-ENKXEVKo2khJPxPArUmfnkYDCrAfY,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,,
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1075,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,39,975,187,0,0,stop,7.275,7.272,chatcmpl-ENKXHOF0o25fHWLrLz3f3soGZIXhm,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00118260,0.037
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1082,1,0,"{""inst_level_loose"": 0, ""inst_level_strict"": 0, ""num_instructions"": 1, ""prompt_level_loose"": false, ""prompt_level_strict"": false}",,40,375,92,0,0,stop,4.115,4.105,chatcmpl-ENKXHzpdXFRMDnHUtMEuWe8oUaMaR,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00043300,0.1
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1154,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,32,4847,1536,0,0,stop,26.701,26.697,chatcmpl-ENKXKFGjNGPIFlieZaInroUpx3MjN,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00582280,0.225
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1187,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,36,154,114,0,0,stop,2.136,2.132,chatcmpl-ENKXL3uxnOYFXSGzt5RWGM1jhPzIq,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00023120,0.161
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1237,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,56,338,110,0,0,stop,3.453,3.45,chatcmpl-ENKXMyD6O2vUSgbfAElblhS0S2o8H,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00041860,0.014
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1259,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,26,572,536,0,0,stop,5.393,5.389,chatcmpl-ENKXNlzdoHmspWBwIHK7LF12RP5fg,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00069160,0.136
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1281,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,92,775,670,0,0,stop,6.358,6.355,chatcmpl-ENKXO2haEMjzcIGHdbdDANO7B17SI,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00094080,0.022
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1286,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,56,448,277,0,0,stop,4.107,4.103,chatcmpl-ENKXQOMBfHgmBn8e4d7wnAIT9PXip,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00045300,0.033
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1314,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,60,589,87,0,0,stop,5.517,5.509,chatcmpl-ENKXSQCNiBj253WDO7hHeexjPfBlu,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00074620,0.025
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1325,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,61,366,185,0,0,stop,4.202,4.199,chatcmpl-ENKXUpe29BrAwHG5IRSO2YaGrhivN,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00047200,0.002
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1476,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,59,129,96,0,0,stop,2.307,2.304,chatcmpl-ENKXXlWkngYWxrFVGj6JzGdA4HqvT,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00018700,0.012
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1481,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,111,681,176,0,0,stop,6.128,6.12,chatcmpl-ENKXY3FjDmcXW9PNTGFPtaNpMqsBT,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00092920,0.006
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1516,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,55,567,512,0,0,stop,5.361,5.354,chatcmpl-ENKXYJnZuTHtYLk9NgU4euBHSzYnk,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00071980,0.075
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1531,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,55,2810,217,0,0,stop,16.625,16.621,chatcmpl-ENKXZd5bLmFr9bYCpdOf3MVp13awn,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00271980,0.025
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1546,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,46,485,218,0,0,stop,4.503,4.491,chatcmpl-ENKXe5KhDQuJlZeEa43XmJq30FqXY,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00054200,0.036
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1551,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,58,881,113,0,0,stop,6.435,6.428,chatcmpl-ENKXew9dUR1gDFvN572quBVVlCFo9,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00095200,0.048
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1561,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,58,281,193,0,0,stop,2.78,2.76,chatcmpl-ENKXiR3aV2qXTsXMakRxd2KLiMr4H,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00025660,0.008
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1571,1,1,"{""inst_level_loose"": 3, ""inst_level_strict"": 3, ""num_instructions"": 3, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,56,154,40,0,0,stop,3.052,3.047,chatcmpl-ENKXlzjXM3qNul6lJM6a75HpLTeaO,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00034780,0.001
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1582,1,1,"{""inst_level_loose"": 3, ""inst_level_strict"": 3, ""num_instructions"": 3, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,59,266,186,0,0,stop,2.998,2.995,chatcmpl-ENKXl8dugE4QuEBdjx1gxjTdkL8ye,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00033100,0.114
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1634,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,40,639,367,0,0,stop,4.639,4.635,chatcmpl-ENKXoC9Nm6R9EuTDarZ7VmWeEMlOZ,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,,
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1667,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,43,1090,183,0,0,stop,8.606,8.602,chatcmpl-ENKXqFk0PKm2rTBKD268jlfVWaTgj,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00078100,0.018
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1730,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,47,614,190,0,0,stop,5.733,5.729,chatcmpl-ENKXvmZXtQcA4Lp4lyb3KObRh3xK3,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00078480,0.241
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1739,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,101,233,137,0,0,stop,2.248,2.244,chatcmpl-ENKXwgvSEf2y8Hjx5x1eACtYEYUJm,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00032780,0.008
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1781,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,39,2260,232,0,0,stop,16.831,16.827,chatcmpl-ENKXy1JxVLyp3OkbijATokXn59xwi,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00281340,0.165
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1837,1,1,"{""inst_level_loose"": 2, ""inst_level_strict"": 2, ""num_instructions"": 2, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,30,649,309,0,0,stop,6.142,6.125,chatcmpl-ENKXztpaWlUwjIF0oxPXD7FgpHALV,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00094840,0.098
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1857,1,1,"{""inst_level_loose"": 1, ""inst_level_strict"": 1, ""num_instructions"": 1, ""prompt_level_loose"": true, ""prompt_level_strict"": true}",,40,235,170,0,0,stop,2.991,2.988,chatcmpl-ENKY1EvR5zVMaPhBLW9i3MaF6ByIn,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00023360,0.065
2026-09-12T16-06-27-00-00_ifeval_E3npPUjBXGv9Fa2YbsAfhW.eval,inspect_evals/ifeval,openai-api/apigo/gpt-5.6-luna,high,1858,1,0,"{""inst_level_loose"": 0, ""inst_level_strict"": 0, ""num_instructions"": 1, ""prompt_level_loose"": false, ""prompt_level_strict"": false}",,41,354,101,0,0,stop,4.338,4.329,chatcmpl-ENKY2xFWiEJqG4zVipjZdLRa2OrIp,gpt-5.6-luna-2026-07-09,,,,,,,,,ifeval,gpt-5.6-luna,gpt-5.6-luna,false,0.00077480,0.099
